Objective Tag,Objective Description,Evidence Statements,Covered?
N-Q,The student reasons quantitatively in using units to solve problems,selection of appropriate units when solving a problem,Y
,,correct interpretation of units consistently in formulas,Y
,,selection of appropriate scale and origin in graphs and data displays,N
,,selection of (Identification of) appropriate quantities for the purpose of descriptive modeling,N
,,selection of a level of accuracy appropriate to limitations on measurement when reporting quantities,N
5.G.1-2,Graph points on the coordinate plane to solve real-world and mathematical problems,"Use a pair of perpendicular number lines, called axes, to define a coordinate system",Y
,,"Represent real world and mathematical problems by graphing points in the first quadrant of the coordinate plane, and interpret coordinate values of points in the context of the situation.",Y
5.OA.1-2,Write and interpret numerical expressions,"Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols",Y
,,"Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them.",Y
6.NS.5-8,"The student performs operations with negative numbers, works with the number line and coordinate plane, order and absolute value of numbers, and solves real-world problems with rational numbers.",representation of opposite quantities with positive and negative numbers.,N
,,graphs of negative numbers on the number line.,Y
,,plots of coordinate pairs in all four quadrants of the coordinate plane.,Y
,,definition of and determination of absolute value of rational numbers.,Y
,,interpretation of order of rational numbers in real-world contexts.,N
,,calculation of distance between points with the same first coordinate or same second coordinate.,Y
7.EE.1-2,The student uses properties of operations to generate equivalent expressions,"addition, subtraction, factoring, and expansion of linear expressions with rational coefficients by applying properties of operations",N
,,rewriting of an expression in different forms in a problem context to shed light on the problem and how the quantities in it are related,N
7.EE.3-4,The student uses numerical and algebraic expressions and equations to solve real-life and mathematical problems,"use of positive and negative rational numbers in any form (whole numbers, fractions, and decimals) to solve multi-step real-life and mathematical problems",Y
,,conversions between forms of rational numbers to perform appropriate calculations,N
,,estimation of answers using mental computation to assess the reasonableness of solutions,Y
,,use of variables to represent quantities in a real-world or mathematical problem,Y
,,construction of simple equations and inequalities to solve problems by reasoning about the quantities,Y
,,"solution of word problems leading to equations of the form px + q = r and p(x + q) = r, where p, q, and r are specific rational numbers",N
,,determination of solutions of equations of these forms,N
,,"comparison of an algebraic solution to an arithmetic solution, identifying the sequence of the operations used in each approach",Y
,,"determination of solutions of word problems leading to inequalities of the form px + q > r or px + q < r, where p, q, and r are specific rational numbers",Y
,,interpretation in context of solutions of word problems leading to inequalities,Y
,,construction of a graph of the solution set of an inequality and interpretation of it in the context of the problem,N
8.EE.1-4,The student performs operations with radicals and integer exponents,1. generation of equivalent numerical expressions by applying the properties of integer exponents,N
,,"2. use of square root and cube root symbols to represent solutions to equations of the form x2 = p, where p is a positive rational number, and x3 = p, where p is a positive or negative rational number",N
,,3. evaluation of square roots of small perfect squares and cube roots of small perfect cubes,N
,,4. identification of ê2 as irrational,N
,,5. estimation of very large or very small quantities using numbers expressed in the form of a single digit times an integer power of 10,N
,,6. comparison of very large or very small quantities by expressing how many times as much one is than the other,N
,,"7. operations with numbers expressed in scientific notation, including problems where both decimal and scientific notation are used",N
,,8. selection of units of appropriate size for measurements of very large or very small quantities,N
,,9. interpretation of scientific notation that has been generated by technology,N
8.EE.5-6,"The student draws connections between proportional relationships, lines, and linear equations",1. interpretation of the unit rate as the slope of the graph of a proportional relationship,N
,,"2. comparison of two different proportional relationships represented in different ways (for example, graph and equation)",N
,,"3. use of similar triangles to explain why the slope, m, is the same between any two distinct points on a non-vertical line in the coordinate plane",N
,,4. derivation of the equation y = mx for a line through the origin and the equation y = mx + b for a line intercepting the vertical axis at b,N
8.EE.7,The student analyzes and solves linear equations and pairs of simultaneous linear equations (simultaneous linear equations will be taught in 8th grade),1. determination of solutions of linear equations in one variable,N
,,"2. identification of linear equations in one variable as having one solution, infinitely many solutions, or no solutions",N
,,"3. transformation of given equations into simpler forms, until an equivalent equation of the form x = a, a = a, or a = b results (where a and b are different numbers)",N
,,"4. solutions of linear equations with rational number coefficients, including equations whose solutions require expanding expressions using the distributive property and collecting like terms",N
7.G.1,"The student draws, constructs, and describes geometrical figures and describes the relationships between them",1. computation of lengths and areas from scale drawings of geometric figures,N
,,2. reproduction of a scale drawing at a different scale,N
7.G.2,,"3. use of given conditions to draw geometric shapes (freehand, with ruler and protractor, and with technology)",N
,,"4. use of the measures of three angles or sides to construct a triangle and determine when the conditions determine a unique triangle, more than one triangle, or no triangle",N
7.G.3,,"5. description of the two-dimensional figures that result from slicing three dimensional figures, as in plane sections of right rectangular prisms and right rectangular pyramids",N
7.G.5,"The student solves real-life and mathematical problems involving angle measure, area, surface area, and volume (Area, SA, Volume in 6th)","3. determination of solution to a multi-step problem requiring use of facts about supplementary, complementary, vertical, and adjacent angles to write and solve simple equations for an unknown angle in a figure",N
8.G.1-5,"The student uses physical models, transparencies, or geometry software to examine congruence and similarity","1. rotations, reflections, and translations of lines taken to lines, and line segments to line segments of the same length",N
,,"2. rotations, reflections, and translations of angles taken to angles of the same measure",N
,,"3. rotations, reflections, and translations of parallel lines taken to parallel lines",N
,,"4. creation of a two-dimensional figure, congruent to a first figure, obtained by a sequence of rotations, reflections, and translations",N
,,"5. description of the sequence of rotations, reflections, and translations used to create a second congruent figure from a first",N
,,"6. descriptions of the effect of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates",N
,,"7. creation of a second, similar, two-dimensional figure obtained by a sequence of rotations, reflections, translations, and dilations performed on a figure",N
,,"8. description of the sequence of rotations, reflections, translations, and dilations used to create a second similar figure from a first",N
